sample_unit_id,State1,State1_Percent,State2,State2_Percent,State3,State3_Percent
48198,California,100.00,NA,0.00,NA,0.00
88469,California,100.00,NA,0.00,NA,0.00
112525,Oregon,6.95,NA,0.00,NA,0.00
107910,Oregon,100.00,NA,0.00,NA,0.00
124138,Washington,100.00,NA,0.00,NA,0.00
89372,California,100.00,NA,0.00,NA,0.00
70858,California,100.00,NA,0.00,NA,0.00
124590,Washington,100.00,NA,0.00,NA,0.00
112595,Idaho,100.00,NA,0.00,NA,0.00
99603,Oregon,100.00,NA,0.00,NA,0.00
128333,Washington,54.67,Idaho,45.33,NA,0.00
58354,California,9.79,NA,0.00,NA,0.00
79177,California,7.18,NA,0.00,NA,0.00
59762,California,100.00,NA,0.00,NA,0.00
125034,Washington,51.73,NA,0.00,NA,0.00
127402,Washington,100.00,NA,0.00,NA,0.00
55622,California,100.00,NA,0.00,NA,0.00
83366,California,100.00,NA,0.00,NA,0.00
113491,Oregon,100.00,NA,0.00,NA,0.00
51897,California,100.00,NA,0.00,NA,0.00
97260,California,100.00,NA,0.00,NA,0.00
101044,Idaho,100.00,NA,0.00,NA,0.00
106530,Oregon,100.00,NA,0.00,NA,0.00
117660,Washington,100.00,NA,0.00,NA,0.00
79197,California,100.00,NA,0.00,NA,0.00
107947,Oregon,100.00,NA,0.00,NA,0.00
46807,California,100.00,NA,0.00,NA,0.00
104197,Oregon,100.00,NA,0.00,NA,0.00
101013,Idaho,100.00,NA,0.00,NA,0.00
93076,California,100.00,NA,0.00,NA,0.00
72719,California,100.00,NA,0.00,NA,0.00
123184,Washington,100.00,NA,0.00,NA,0.00
106113,Idaho,100.00,NA,0.00,NA,0.00
63447,California,100.00,NA,0.00,NA,0.00
117177,Washington,100.00,NA,0.00,NA,0.00
101942,Idaho,100.00,NA,0.00,NA,0.00
50994,California,100.00,NA,0.00,NA,0.00
93553,California,100.00,NA,0.00,NA,0.00
91761,Idaho,99.97,Nevada,0.03,NA,0.00
112071,Oregon,100.00,NA,0.00,NA,0.00
125082,Washington,100.00,NA,0.00,NA,0.00
55610,California,100.00,NA,0.00,NA,0.00
102375,Oregon,100.00,NA,0.00,NA,0.00
98197,Oregon,100.00,NA,0.00,NA,0.00
100564,Idaho,100.00,NA,0.00,NA,0.00
113942,Oregon,100.00,NA,0.00,NA,0.00
121356,Washington,100.00,NA,0.00,NA,0.00
98166,California,100.00,NA,0.00,NA,0.00
110264,Oregon,100.00,NA,0.00,NA,0.00
71347,California,100.00,NA,0.00,NA,0.00
102800,Oregon,100.00,NA,0.00,NA,0.00
99613,Oregon,64.18,Idaho,35.82,NA,0.00
80577,California,100.00,NA,0.00,NA,0.00
61141,California,100.00,NA,0.00,NA,0.00
70851,California,100.00,NA,0.00,NA,0.00
121346,Washington,100.00,NA,0.00,NA,0.00
55592,California,100.00,NA,0.00,NA,0.00
100503,Oregon,100.00,NA,0.00,NA,0.00
91772,Idaho,100.00,NA,0.00,NA,0.00
